パターン,ミートAP大,パワーAP大,1.5倍AP大,ミートAP小,パワーAP小,1.5倍AP小,非AP大,非AP小,大練マイナス,ミート積極AP大,パワー積極AP大,1.5倍積極AP大,積極非AP大,積極新球,積極マイナス,自主トレ,パターン(右),,,,,,,
停滞期00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,停滞期00,,,,,,,
停滞期01,,,,,,,0.5,,0,,,,0.5,,0,,停滞期01,,,,,,,
停滞期02,1,1,1.3,0.5,0.5,0.5,1,0.5,0,1,1,1.3,1,0.5,0,1.5,停滞期02,,,,,,,
停滞期03,,,,,,,1.5,,0,,,,1.5,,0,,停滞期03,,,,,,,
停滞期1,3.3,3.7,4.3,2,2.3,2.7,3,2,0,3.3,3.7,4.3,3,2,0,6,停滞期1,,,,,,,
停滞期2,6,6.7,7.3,3.3,3.7,4.3,5,3,-1,9,9.7,10.3,8,6,-2.5,9,停滞期2,,,,,,,
停滞期3,7.3,8,8.7,4.7,5.3,5.7,6,4,-1,10.3,11,11.7,9,7,-2.5,12,停滞期3,,,,,,,
通常期1,10,10.7,11.7,6,6.7,7.3,8,5,-1.5,13,13.7,14.7,11,8,-3,15,通常期1,,,,,,,
通常期2,11.3,12.3,13.3,7.3,8,8.7,9,6,-1.5,14.3,15.3,16.3,12,9,-3,18,通常期2,,,,,,,
通常期3,13.3,14.3,15.5,8.7,9.3,10.3,10.5,7,-1.5,16.3,17.3,18.5,13.5,10,-3,21,通常期3,,,,,,,
通常期4,15.8,17,18.5,10.8,11.5,12.5,12.5,8.5,-2,18.8,20,21.5,15.5,11.5,-3.5,25.5,通常期4,,,,,,,
成長期1,18.3,20,21.5,12,13,14,14.5,9.5,-2,21.3,23,24.5,17.5,12.5,-3.5,28.5,成長期1,,,,,,,
成長期2,19.8,21.3,23,13.3,14.3,15.5,15.5,10.5,-2,22.8,24.3,26,18.5,13.5,-3.5,31.5,成長期2,,,,,,,
成長期2-,19.8,21.3,23,13.3,14.3,15.5,15.5,10.5,-2.5,22.8,24.3,26,18.5,13.5,-4,31.5,成長期2-,,,,,,,
