実数値,ミート経験値,パワー経験値,その他経験値,ランク
1,0,0,0,G
2,30,30,20,G
3,60,60,40,G
4,90,90,60,G
5,120,120,80,G
6,150,150,100,G
7,180,180,120,G
8,210,210,140,G
9,240,240,160,G
10,270,270,180,G
11,300,300,200,G
12,330,330,220,G
13,360,360,240,G
14,390,390,260,G
15,420,420,280,F
16,450,450,300,F
17,480,480,320,F
18,510,510,340,F
19,540,540,360,F
20,570,570,380,F
21,600,600,400,F
22,630,630,420,F
23,660,660,440,F
24,690,690,460,F
25,720,720,480,F
26,750,750,500,F
27,780,780,520,F
28,810,810,540,F
29,840,840,560,F
30,870,870,580,E
31,900,900,600,E
32,930,930,620,E
33,960,960,640,E
34,990,990,660,E
35,1020,1020,680,E
36,1050,1050,700,E
37,1080,1080,720,E
38,1110,1110,740,E
39,1140,1140,760,E
40,1170,1170,780,E
41,1200,1200,800,E
42,1230,1230,820,E
43,1260,1260,840,E
44,1290,1290,860,E
45,1320,1320,880,D
46,1370,1360,910,D
47,1420,1400,940,D
48,1470,1440,970,D
49,1520,1480,1000,D
50,1570,1520,1030,D
51,1620,1560,1060,D
52,1670,1600,1090,D
53,1720,1640,1120,D
54,1770,1680,1150,D
55,1820,1720,1180,D
56,1870,1760,1210,D
57,1920,1800,1240,D
58,1970,1840,1270,D
59,2020,1880,1300,D
60,2070,1920,1330,C
61,2140,1970,1370,C
62,2210,2020,1410,C
63,2280,2070,1450,C
64,2350,2120,1490,C
65,2420,2170,1530,C
66,2490,2220,1570,C
67,2560,2270,1610,C
68,2630,2320,1650,C
69,2700,2370,1690,C
70,2770,2420,1730,C
71,2840,2470,1770,C
72,2910,2520,1810,C
73,2980,2570,1850,C
74,3050,2620,1890,C
75,3120,2670,1930,B
76,3210,2740,1990,B
77,3300,2810,2050,B
78,3390,2880,2110,B
79,3480,2950,2170,B
80,3570,3020,2230,B
81,3660,3090,2290,B
82,3750,3160,2350,B
83,3840,3230,2410,B
84,3930,3300,2470,B
85,4020,3370,2530,B
86,4110,3440,2590,B
87,4200,3510,2650,B
88,4290,3580,2710,B
89,4380,3650,2770,B
90,4470,3720,2830,A
91,4570,3810,2910,A
92,4670,3900,2990,A
93,4770,3990,3070,A
94,4870,4080,3150,A
95,4970,4170,3230,A
96,5070,4260,3310,A
97,5170,4350,3390,A
98,5270,4440,3470,A
99,5370,4530,3550,A
100,5470,4620,3630,S
